SECTOR,AREA,LATITUDE,LONGITUDE,H_MIX,H_M_INDUSTRY,H_M_COMERCE,H_M_SERVICES,H_M_AGRICULTURAL,H_NR_INDUSTRY,H_NR_COMERCE,H_NR_SERVICES,H_NR_AGRICULTURAL,H_NR_INSTITUTE,H_NR_LAND,H_NR_PARK,H_NR_MINING,H_NR_COSERV,HOUSES,HOMES,ELECTRIC,STRATA_1,STRATA_2,STRATA_3,STRATA_4,STRATA_5,STRATA_6,AQUEDUCT,SEWAGE,GAS,GARBAGE,INTERNET,POPULATION,MEN,WOMEN,PEOPLE_0_9,PEOPLE_10_19,PEOPLE_20_29,PEOPLE_30_39,PEOPLE_40_49,PEOPLE_50_59,PEOPLE_60_69,PEOPLE_70_79,PEOPLE_80,HIGH_ED,DENSITY,YEAR,MONTH,CASES,TEMP_MEAN,PRECIP_TOT,WET_DAYS,DAYS_OV_90,ELEVATION,NDVI
21,263299.2781,4.447978861,-75.24497482,0.010906612,0,0.010224949,0.000681663,0,0.001022495,0.065098841,0.006134969,0,0.007498296,0.002726653,0.001363327,0,0,2934,0.80129516,0.795160191,0.038173142,0.15064758,0.108384458,0.433197001,0.059645535,0.001363327,0.795160191,0.793796864,0.737559646,0.792774369,0.581799591,270,0.453382762,0.546617238,0.082298424,0.108804449,0.135866543,0.145319741,0.109360519,0.141983318,0.1360519,0.084337349,0.055977757,0.457089898,0.020489992,2013,1,4,18.58387097,62.89608647,3,4,1289.480545,0.30932747
22,215983.768,4.444324771,-75.24669111,0.019909502,0.000904977,0.018099548,0.000904977,0,0,0.025339367,0.004524887,0,0.00361991,0.006334842,0.000904977,0,0,1105,0.892307692,0.885067873,0.366515837,0.463348416,0.03438914,0.018099548,0.001809955,0,0.886877828,0.866968326,0.695022624,0.885972851,0.284162896,136,0.484346225,0.515653775,0.126703499,0.174217311,0.174217311,0.129650092,0.12228361,0.112338858,0.085451197,0.048618785,0.026519337,0.154696133,0.012570389,2013,1,4,18.58387097,62.89608647,3,4,1232.516965,0.431407919
23,231343.2712,4.443760311,-75.2412323,0.009411765,0,0.007058824,0.002352941,0,0.009411765,0.455686275,0.143529412,0,0.007843137,0.001568627,0.001568627,0,0,1275,0.819607843,0.818039216,0.026666667,0.076862745,0.133333333,0.538039216,0.025882353,0.002352941,0.817254902,0.816470588,0.690980392,0.810196078,0.589019608,120,0.458455115,0.541544885,0.086430063,0.106889353,0.145302714,0.131106472,0.110647182,0.143215031,0.13736952,0.068058455,0.070981211,0.470981211,0.010352581,2013,1,8,18.58387097,62.89608647,3,4,1276.070979,0.216522869
24,76304.66289,4.440140294,-75.24025255,0.044,0.004,0.028,0.012,0,0.004,0.244,0.076,0,0.004,0.004,0.004,0,0,250,0.884,0.876,0.372,0.424,0.04,0.016,0.004,0,0.876,0.88,0.488,0.876,0.164,25,0.521042084,0.478957916,0.116232465,0.126252505,0.186372745,0.128256513,0.138276553,0.132264529,0.086172345,0.052104208,0.034068136,0.116232465,0.006539574,2013,1,0,18.58387097,62.89608647,3,4,1245.251906,0.328631953
25,135687.2361,4.437754407,-75.2398596,0.027610009,0.000862813,0.023295945,0.003451251,0,0.006039689,0.012079379,0.006039689,0,0,0.013805004,0.000862813,0,0,1159,0.931837791,0.924072476,0.674719586,0.241587575,0.006902502,0.000862813,0,0,0.925798102,0.924935289,0.726488352,0.914581536,0.115616911,128,0.485546875,0.514453125,0.151171875,0.194140625,0.157421875,0.12578125,0.108203125,0.12109375,0.067578125,0.0484375,0.026171875,0.07109375,0.018866918,2013,1,4,18.58387097,62.89608647,3,4,1197.593439,0.348669601
26,200128.3923,4.440694214,-75.2364767,0.022485207,0,0.013017751,0.008284024,0.001183432,0.029585799,0.475739645,0.105325444,0.001183432,0.004733728,0.001183432,0.002366864,0,0,845,0.816568047,0.813017751,0.037869822,0.198816568,0.318343195,0.196449704,0.001183432,0,0.813017751,0.81183432,0.604733728,0.810650888,0.434319527,76,0.501981506,0.498018494,0.115587847,0.111624835,0.178335535,0.139365918,0.106340819,0.142007926,0.118890357,0.058124174,0.029722589,0.28005284,0.007565143,2013,1,4,18.58387097,62.89608647,3,4,1247.175516,0.222808361
27,420376.534,4.438563661,-75.23000195,0.043669725,0.004036697,0.035963303,0.003669725,0,0.010642202,0.276697248,0.038899083,0,0.000733945,0.00146789,0,0,0,2725,0.946055046,0.944587156,0.105688073,0.270091743,0.543119266,0.009908257,0.000366972,0.000366972,0.944220183,0.943119266,0.685504587,0.942752294,0.314862385,320,0.487351655,0.512648345,0.108213616,0.160212367,0.168644597,0.126951905,0.120393504,0.130387258,0.093222986,0.062929419,0.029044347,0.187226733,0.015233962,2013,1,10,18.58387097,62.89608647,3,4,1220.954517,0.213191265
28,162247.3699,4.437378177,-75.22007518,0.017094017,0,0.011396011,0.005698006,0,0,0.584045584,0.316239316,0,0.056980057,0,0.002849003,0,0,351,0.863247863,0.857549858,0.011396011,0.01994302,0.336182336,0.182336182,0.290598291,0.011396011,0.854700855,0.857549858,0.769230769,0.854700855,0.618233618,35,0.444767442,0.555232558,0.056686047,0.094476744,0.14244186,0.111918605,0.114825581,0.126453488,0.151162791,0.095930233,0.106104651,0.520348837,0.004240439,2013,1,3,18.58387097,62.89608647,3,4,1200.942019,0.353269659
29,110182.0807,4.435104635,-75.21399794,0.027027027,0,0.018711019,0.008316008,0,0.004158004,0.195426195,0.207900208,0,0.024948025,0.002079002,0.004158004,0,0.002079002,481,0.787941788,0.77962578,0.002079002,0.029106029,0.313929314,0.407484407,0.024948025,0,0.783783784,0.783783784,0.742203742,0.781704782,0.617463617,48,0.444561774,0.555438226,0.083421331,0.096092925,0.162618796,0.124604013,0.127771911,0.151003168,0.121436114,0.081309398,0.051742344,0.501583949,0.008594864,2013,1,1,18.58387097,62.89608647,3,4,1186.72681,0.303233785
30,241166.1763,4.434466337,-75.20831073,0.004920722,0,0.001640241,0.003280481,0,0.000546747,0.042099508,0.048113723,0,0.002733734,0.015855659,0.001093494,0,0,1829,0.676325861,0.673592127,0.000546747,0.014762165,0.074904319,0.267359213,0.300164024,0.012028431,0.671951886,0.67304538,0.632039366,0.672498633,0.574630946,153,0.438423645,0.561576355,0.073563218,0.092610837,0.117569787,0.130377668,0.120525452,0.157963875,0.148768473,0.108374384,0.050246305,0.575369458,0.012626149,2013,1,3,18.58387097,62.89608647,3,4,1172.373694,0.348158544
31,444113.5893,4.430986949,-75.20360807,0.026359143,0.002306425,0.012191104,0.011861614,0,0.004942339,0.017792422,0.046787479,0.001317957,0.000329489,0.009884679,0.003624382,0,0,3035,0.954200988,0.894892916,0.031301483,0.157166392,0.568369028,0.13509061,0.000988468,0,0.892257002,0.893574959,0.872487644,0.891927512,0.747281713,384,0.465492498,0.534507502,0.104761905,0.141422048,0.165296804,0.147814742,0.132681018,0.139595564,0.090150033,0.050228311,0.028049576,0.423613829,0.017259098,2013,1,4,18.58387097,62.89608647,3,4,1135.247751,0.346307519
32,374970.432,4.435074392,-75.19649569,0.041402462,0.003356956,0.024244685,0.013800821,0,0.001864976,0.06079821,0.055576278,0,0.005594927,0.00074599,0.007832898,0,0,2681,1.020141738,0.894815367,0.022006714,0.079447967,0.788138754,0.002237971,0.00074599,0.00074599,0.895188363,0.895561358,0.8769116,0.895561358,0.688922044,377,0.441835787,0.558164213,0.091922006,0.13277623,0.163416899,0.121501525,0.110094177,0.15200955,0.103594641,0.065923863,0.058761109,0.335588274,0.020105585,2013,1,1,18.58387097,62.89608647,3,4,1098.6586,0.334664805
